timestamp,est_frame_id,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_frame_id,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,pos_error_x,pos_error_y,pos_error_z,pos_error_magnitude,rot_error_deg,yaw_diff_deg,aligned_est_x,aligned_est_y,aligned_est_z
1750924094.921953,camera_init,0.015336,0.005210,-0.021243,0.001424,-0.000622,-0.001669,0.999997,0.163,-0.071,-0.191,map,-0.281650,-0.002391,0.004146,0.000163,-0.000582,-0.001285,-0.999999,-0.019,0.067,0.147,-0.296986,-0.007601,0.025388,0.298166,0.408,0.339,-0.005210,-0.021243,-0.015336
1750924095.020108,camera_init,0.015336,0.005210,-0.021243,0.001424,-0.000622,-0.001669,0.999997,0.163,-0.071,-0.191,map,-0.281650,-0.002391,0.004146,0.000163,-0.000582,-0.001285,-0.999999,-0.019,0.067,0.147,-0.296986,-0.007601,0.025388,0.298166,0.408,0.339,-0.005210,-0.021243,-0.015336
1750924095.120100,camera_init,0.015336,0.005210,-0.021243,0.001424,-0.000622,-0.001669,0.999997,0.163,-0.071,-0.191,map,-0.281650,-0.002391,0.004146,0.000163,-0.000582,-0.001285,-0.999999,-0.019,0.067,0.147,-0.296986,-0.007601,0.025388,0.298166,0.408,0.339,-0.005210,-0.021243,-0.015336
1750924095.220047,camera_init,0.015336,0.005210,-0.021243,0.001424,-0.000622,-0.001669,0.999997,0.163,-0.071,-0.191,map,-0.281650,-0.002391,0.004146,0.000163,-0.000582,-0.001285,-0.999999,-0.019,0.067,0.147,-0.296986,-0.007601,0.025388,0.298166,0.408,0.339,-0.005210,-0.021243,-0.015336
1750924095.320068,camera_init,0.015336,0.005210,-0.021243,0.001424,-0.000622,-0.001669,0.999997,0.163,-0.071,-0.191,map,-0.281650,-0.002391,0.004146,0.000163,-0.000582,-0.001285,-0.999999,-0.019,0.067,0.147,-0.296986,-0.007601,0.025388,0.298166,0.408,0.339,-0.005210,-0.021243,-0.015336
1750924095.462263,camera_init,0.015336,0.005210,-0.021243,0.001424,-0.000622,-0.001669,0.999997,0.163,-0.071,-0.191,map,-0.262712,0.007754,0.005207,0.000303,-0.000916,-0.001213,-0.999999,-0.035,0.105,0.139,-0.278048,0.002544,0.026449,0.279315,0.423,0.330,-0.005210,-0.021243,-0.015336
1750924095.520085,camera_init,0.015336,0.005210,-0.021243,0.001424,-0.000622,-0.001669,0.999997,0.163,-0.071,-0.191,map,-0.262712,0.007754,0.005207,0.000303,-0.000916,-0.001213,-0.999999,-0.035,0.105,0.139,-0.278048,0.002544,0.026449,0.279315,0.423,0.330,-0.005210,-0.021243,-0.015336
1750924095.620074,camera_init,0.015336,0.005210,-0.021243,0.001424,-0.000622,-0.001669,0.999997,0.163,-0.071,-0.191,map,-0.262712,0.007754,0.005207,0.000303,-0.000916,-0.001213,-0.999999,-0.035,0.105,0.139,-0.278048,0.002544,0.026449,0.279315,0.423,0.330,-0.005210,-0.021243,-0.015336
1750924095.720058,camera_init,0.015336,0.005210,-0.021243,0.001424,-0.000622,-0.001669,0.999997,0.163,-0.071,-0.191,map,-0.262712,0.007754,0.005207,0.000303,-0.000916,-0.001213,-0.999999,-0.035,0.105,0.139,-0.278048,0.002544,0.026449,0.279315,0.423,0.330,-0.005210,-0.021243,-0.015336
1750924095.820052,camera_init,0.015011,0.005366,-0.022098,0.001617,-0.000638,-0.001451,0.999997,0.185,-0.073,-0.166,map,-0.262712,0.007754,0.005207,0.000303,-0.000916,-0.001213,-0.999999,-0.035,0.105,0.139,-0.277723,0.002389,0.027305,0.279072,0.416,0.305,-0.005366,-0.022098,-0.015011
